,en,it,es,bg,tr,nl,estonian
KEY_1,What is the purpose of a firewall?,Qual è lo scopo di un firewall?,¿Cuál es la utilidad de un firewall?,Каква е целта на firewall?,Firewall'un amacı nedir?,Wat is het doel van een firewall?,Mis on tulemüüri eesmärk?
KEY_1A,To control incoming/outgoing network traffic,Controllare traffico in/out della rete,Controlar el tráfico entrante y saliente,За контролиране на входящия/изходящия мрежов трафик,Gelen/giden network trafiğini kontrol etmek,Voor het beheer van netwerkverkeer.,Sissetuleva/väljamineva võrguliikluse juhtimiseks
KEY_2,What does a DDoS attack do?,Cosa fa un attacco DDoS?,¿Qué es un ataque DDoS?,Какво е DDoS атака?,DDos saldırısı nedir?,Wat is een DDoS-aanval?,Mis on DDoS-rünnak?
KEY_2A,Floods a network/server to disrupt services,Inonda rete/server per interrompere servizi,Inunda las capacidades de una red para interrumpir sus servicios,"Наводняване на мрежа/сървър, за нарушаване на услугите",Hizmetleri kesintiye uğratmak için ağı/sunucuyu zarara uğratır,Aanval op netwerk/server capaciteit,"Ujutab võrgu/serveri üle, et häirida teenuseid"
KEY_3,What does CIA stands for?,Cosa significa CIA?,¿Qué representa el acrónimo CIA? (CID),Какви са ценностите на ЦРУ (CIA),CIA ne anlama gelir?,Wat is CIA?,Mida tähendab CIA?
KEY_3A,"Confidentiality, Integrity, Availability","Confidentiality, Integrity, Availability","Confidencialidad, Integridad y Disponibilidad","Поверителност, цялостност, наличност","Gizlilik, Dürüstlük, Uygunluk","Vertrouwelijkheid, integriteit, beschikbaarheid","Konfidentsiaalsus, terviklikkus, kättesaadavus"
KEY_4,What is Social Engineering?,Cos'è l'Ingegneria Sociale?,¿Qué es la Ingeniería Social?,Какво е социално инженерство?,Sosyal mühendislik nedir?,Wat is sociale technologie?,Mis on sotsiaaltehnoloogia?
KEY_4A,Manipulating individuals to divulge confidential information,Manipolazione di individui per divulgare informazioni riservate,La manipulación de individuos para conseguir información confidencial,Манипулиране на лица с цел разкриване поверителна информация,Gizli bilgileri ifşa etmek için bireyleri manipüle etme,Manipulatie van personen om informatie vrij te geven,Isikute manipuleerimine konfidentsiaalse teabe avaldamiseks
KEY_5,What's the purpose of a VPN?,Qual'è lo scopo di una VPN?,¿Cuál es la razón para usar una VPN?,Каква е целта на VPN?,VPN'nin amacı nedir?,Wat is het doel van een VPN?,Mis on VPN-i eesmärk?
KEY_5A,Securely connect over a public network,Connettersi sicuramente su rete pubblica,Conectarse de forma segura a una red pública,Осигурява сигурна връзка през обществена мрежа,Bir yerel ağa güvenli bağlanma,Maak veilig verbinding via het openbare netwerk,Ühendage turvaliselt avaliku võrgu kaudu
KEY_6,What is the purpose of biometrics?,Qual'è lo scopo della biometria?,¿Para qué se utilizan las claves biométricas?,Каква е целта на използването на биометричните данни,Biometrik'in amacı nedir?,Wat is het doel van biometrie?,Mis on biomeetria eesmärk?
KEY_6A,Uses unique biological traits for authentication,Usare tratti biologici per autenticazione,Para utilizar rasgos únicos para la autentificación,Използват се уникални биологични характеристики за удостоверяване,Kimlik doğrulama için benzersiz biyolojik özellikler kullanır,Gebruik van unieke biologische identificatiemiddelen,Kasutab autentimiseks unikaalseid bioloogilisi tunnuseid
KEY_7,What is the role of phishing in cyber attacks?,Qual'è il ruolo del phishing negli attacchi?,¿Qué papel hace el phishing en un ciberataque?,Каква е ролята на фишинга в кибератаките?,Siber ataklarda kimlik avının rolü nedir?,Wat is de rol van phishing bij cyberaanvallen?,Milline on andmepüügi roll küberrünnakutes?
KEY_7A,Deceives users into revealing sensitive information,Ingannare gli utenti per rivelare informazioni sensibili,Engañar a usuarios para compartir información sensible,Подмамва потребителите да разкрият чувствителна информация,Kullanıcıları gizli bilgileri ifşa etmeleri konusunda için kandırır,Gebruikers verleiden gevoelige informatie vrij te geven,Petab kasutajaid tundlikku teavet avaldama
KEY_8,What is malware?,Cosa si intende con Malware?,¿Qué es el malware?,Какво е зловреден софтуер?,Malware/zararlı yazılım nedir?,Wat is malware?,Mis on pahavara/malware?
KEY_8A,Malicious software designed to harm systems,Software dannoso per danneggiare sistemi,Software malicioso diseñado para dañar sistemas,"Софтуер, предназначен да навреди на системите",Sistemlere zarar vermek için tasarlanmış kötü amaçlı yazılımlar,Software die is ontworpen om systemen te beschadigen.,"Pahatahtlik tarkvara, mis on loodud süsteemide kahjustamiseks"
KEY_9,What does a ransomware do?,Cosa fa un ransomware?,¿Qué es el ransomware?,Какво е ransomware?,Fidye yazılımı nedir?,Wat is ransomware?,Mis on lunavara?
KEY_9A,Encrypts files/systems for a ransom,Cifra file/sistemi per un riscatto,Encripta archivos o sistemas con intención de pedir un rescate,Криптира файлове/системи с цел искане на откуп,Fidye karşılığında dosyaları/sistemleri şifreler,Malware die databestanden versleuteld.,Krüpteerib lunaraha saamiseks failid/süsteemid
KEY_10,What is the purpose of a vulnerability assessment?,Qual'è lo scopo di una valutazione di vulnerabilità?,¿Qué utilidad tiene un asesoramiento de vulnerabilidades?,Каква е целта на оценката на уязвимостта?,Güvenlik açığı değerlendirmesinin amacı nedir?,Wat is het doel van een kwetsbaarheidsbeoordeling?,Mis on haavatavuse hindamise eesmärk?
KEY_10A,To identify weaknesses in a system,"Identificare debolezze in un sistema
",Identificar debilidades en un sistema,Да се ​​идентифицират слабостите в системата,Bir sistemdeki zayıflıkları açığa çıkarma,Zwakke punten in het systeem identificeren,Süsteemi nõrkade külgede tuvastamiseks
KEY_11,What is the purpose of a GRC framework?,Qual'è lo scopo di un framework GRC?,¿Para qué sirve un marco GRC?,Каква е целта на GRC рамката?,GRC çerçevesinin amacı nedir?,Wat is het doel van het GRC-raamwerk?,Mis on GRC raamistiku eesmärk?
KEY_11A,Provides structure for managing operations,Fornire una struttura per gestire operazioni,Para dar estructura a la gestión de operaciones,Осигурява структура за управление на операциите,Operasyonları yönetmek için yapı oluşturma,Biedt een structuur om activiteiten te beheren,Pakub struktuuri toimingute juhtimiseks
KEY_12,What's the purpose of an Incident Response Plan?,Qual'è lo scopo di un Piano di Risposta agli Incidenti?,¿Con qué intenciones se hace un Plan de Respuestas a Incidentes?,Каква е целта на плана за реакция при инцидент?,Olay Müdahale Planının amacı nedir?,Wat is het doel van een incident response plan?,Mis on vahejuhtumitele reageerimise plaani eesmärk?
KEY_12A,To outline steps for managing and mitigating security incidents,"Pianificare gestione e mitigazione di incidenti
",Marcar los pasos a seguir para gestionar incidentes de seguridad,Да очертае стъпки за управление и смекчаване на инциденти със сигурността,Güvenlik olaylarını yönetmeye ve azaltmaya yönelik adımları özetlemek,Stappenplan om beveiligingsincidenten te beheren/beperken.,Anda ülevaade turvaintsidentide haldamise ja leevendamise sammudest
KEY_13,What factors determine the severity of a security incident?,Cosa determina gravità di un incidente?,¿Qué factores determinan la severidad de un incidente?,Какви фактори определят тежестта на инцидент свързан със сигурността?,Bir güvenlik olayının ciddiyetini hangi faktörler belirler?,Welke factoren bepalen de ernst van een beveiligingsincident?,Millised tegurid määravad turvaintsidendi tõsiduse?
KEY_13A,"Impact on confidentiality, integrity, availability","Impatto su confidenzialità, integrità, disponibilità","Impacto sobre la confidencialidad, integridad y disponibilidad","Въздействие върху поверителността, целостта, достъпността","Gizlilik, dürüstlük ve kullanılabilirlik üzerinde etki etme","Invloed op vertrouwelijkheid, integriteit, toegankelijkheid","Mõju konfidentsiaalsusele, terviklikkusele, kättesaadavusele"
KEY_14,How does a SIEM system aid in security solution implementation?,Come aiuta un sistema SIEM nella sicurezza?,¿Cómo ayuda un sistema SIEM en la implementación de sistemas de seguridad?,Как една SIEM система помага при внедряването на решение за сигурност?,SIEM sistemi güvenlik çözümünün uygulanmasına nasıl yardımcı olur?,Hoe helpt SIEM bij implementatie van beveiligingsoplossingen?,Kuidas aitab SIEM-süsteem turvalahenduse juurutamist?
KEY_14A,Centralizes log monitoring and analysis,Centralizza monitoraggio e analisi log,Centraliza el monitoreo y análisis de registros,Централизира наблюдението и анализа на регистрационните файлове,Günlük izleme ve analizini merkezileştirir,Centraliseert logboekbewaking en -analyse,Tsentraliseerib logi jälgimise ja analüüsi
KEY_15,What measures should be taken during the implementation of a disaster recovery plan?,Quali misure bisogna adottare durante l’implementazione di un piano di disaster recovery?,¿Qué medidas se deben tomar durante un plan de recuperación?,Кои от мерките са добра практика за плана за възстановяване след атака?,Felaket kurtarma planının uygulanması sırasında ne gibi önlemler alınmalıdır?,Welke handelingen zijn nodig om een noodplan te implementeren?,Milliseid meetmeid tuleks avariitaasteplaani rakendamisel võtta?
